序號,答案
20240117090001,133.47495
20240117091001,179.58725
20240117092001,177.278676
20240117093001,155.9288112
20240117094001,116.60409600000003
20240117095001,165.6906066
20240117100001,189.843813
20240117101001,180.7096012
20240117102001,213.52496200000002
20240117103001,198.30169120000002
20240117104001,221.74618000000004
20240117105001,216.826576
20240117110001,121.50584
20240117111001,155.749842
20240117112001,191.957324
20240117113001,191.28835400000003
20240117114001,163.9135892
20240117115001,167.77285700000002
20240117120001,216.74005900000003
20240117121001,293.657714
20240117122001,294.911184
20240117123001,288.607732
20240117124001,476.85191199999997
20240117125001,524.85678
20240117130001,487.38793200000003
20240117131001,539.090152
20240117132001,544.72614
20240117133001,795.75875
20240117134001,994.8307
20240117135001,1048.86304
20240117140001,643.99789
20240117141001,978.075
20240117142001,455.690152
20240117143001,351.523516
20240117144001,726.3730599999999
20240117145001,930.7815
20240117150001,595.99514
20240117151001,258.06732
20240117152001,105.58092860000001
20240117153001,65.5860708
20240117154001,79.5332322
20240117155001,59.70351
20240117160001,10.016373999999999
20240117161001,12.3824472
20240117162001,2.3449327999999996
20240117163001,1.7700857999999997
20240117164001,1.3499675999999996
20240117165001,0.9564057999999998
20240119090001,175.61685999999997
20240119091001,213.69262600000002
20240119092001,271.768774
20240119093001,252.701886
20240119094001,310.52196399999997
20240119095001,305.83525000000003
20240119100001,428.707104
20240119101001,437.83607
20240119102001,457.147404
20240119103001,979.8859000000001
20240119104001,1098.12345
20240119105001,1033.637154
20240119110001,1020.0347280000001
20240119111001,1428.86432
20240119112001,1150.07728
20240119113001,1223.4038
20240119114001,1123.68034
20240119115001,1301.2677800000001
20240119120001,1296.2883199999999
20240119121001,821.91468
20240119122001,844.3016000000001
20240119123001,751.35464
20240119124001,751.6889600000001
20240119125001,1171.1324200000001
20240119130001,988.06376
20240119131001,601.048774
20240119132001,984.28478
20240119133001,508.5535
20240119134001,490.289008
20240119135001,457.8599
20240119140001,719.4051200000001
20240119141001,409.09979200000004
20240119142001,639.910326
20240119143001,289.072276
